STT,Câu hỏi,Chương,A,B,C,D,correct_answer
118,Hệ thống thông tin quản lý (MIS) bao gồm,6,Dữ liệu,Phần mềm,Phần cứng,Cả 3 phương án trên,"A, C"
119,Xử lý giao dịch trực tuyến được viết tắt là?,6,OLTP,OLAP,OLTS,OLTP,A
120,Điểm khác biệt giữa MRP và MRP II?:,6,MRP II tập trung vào quy trình sản xuất trong khi MRP không,X MRP II tích hợp toàn bộ hoạt động công ty trong khi MRP không,MRP tập trung vào kiểm soát nguồn cung trong khi MRP II không,Chỉ khác nhau về tên gọi,"A, B"
121,"Khái niệm nào sau đây là quá trình quản lý toàn bộ vòng đời của sản phẩm từ khi bắt đầu thông qua kỹ thuật , thiết kế và sản xuất cũng như dịch vụ và thải bỏ các sản phẩm được sản xuất?",6,XProduct Lifecycle Management (PLM),Material Requirements Planning (MRP),Management Information System (MIS),Enterprise Resource Planning (ERP),A
122,Phát biểu so sánh Material Requirements Planning (MRP) với Enterprise Resource Planning (ERP) nào sau đây là đúng?,6,XHoạch định nguồn lực doanh nghiệp (ERP) là một phần mở rộng của hệ thống MRP.,"XMRP có thể là một ứng dụng độc lập hoặc một phần của ERP, một giải pháp giải quyết mọi nhu cầu kinh doanh",Hệ thống MRP là một phần mở rộng của hệ thống hoạch định nguồn lực doanh nghiệp (ERP),MRP bắt buộc là một phần của ERP,"A, B"
123,"MIS - Hệ thống thông tin quản lý là gì, hướng đến mục tiêu gì?",6,"XMục tiêu của MIS là cung cấp thông tin cho việc ra quyết định lập kế hoạch, khởi xướng, tổ chức và kiểm soát hoạt động của các hệ thống con của công ty và tăng giá trị và lợi nhuận của doanh nghiệp.",MIS không có mục tiêu cuối cùng liên quan đến tăng giá trị và lợi nhuận của doanh nghiệp.,Mục tiêu của MIS là chủ yếu tập trung vào việc nghiên cứu về con người và quy trình trong môi trường doanh nghiệp.,"MIS tập trung chủ yếu vào việc thu thập và lưu trữ dữ liệu, không liên quan đến quá trình ra quyết định quản lý.",A
124,Đầu vào của Hệ thống thông tin quản lý - MIS không bao gồm?,6,XBáo cáo theo lịch trinh - Scheduled reports,Kế hoạch chiến lược hoặc chính sách doanh nghiệp,"Từ hệ thống xử lý giao dịch (TPS) như: bảng lương, kiểm soát hàng tồn kho, xử lý đơn hàng, các khoản phải trả, các khoản phải thu, sổ cái chung.","Nguồn bên ngoài như báo cáo thường niên, báo cáo tài chính của đối thủ cạnh tranh","A, C"
125,Material Requirements Planning (MRP) là gì?,6,XMột phương pháp quản lý tồn kho và kế hoạch sản xuất để đảm bảo đủ vật liệu sẵn có khi cần thiết.,Một thuật ngữ chủ yếu liên quan đến Marketing và Research Planning trong lĩnh vực quảng cáo.,Chỉ liên quan đến quá trình tiếp thị và quảng bá sản phẩm cho thị trường.,"XGiúp các doanh nghiệp và nhà sản xuất xác định những gì cần thiết, cần bao nhiêu và khi nào cần nguyên liệu và hoạt động ngược lại với kế hoạch sản xuất thành phẩm.","A, D"
126,"Trong hệ thống thông tin quản lý (MIS), khái niệm ""Data Mining"" là gì?",6,Phân tích dữ liệu để khám phá mô hình và thông tin tiềm ẩn,Quá trình tự động hóa các công việc lặp đi lặp lại,Sử dụng mã hóa để bảo vệ thông tin,Tích hợp các hệ thống thông tin khác nhau lại với nhau,A
127,"Khái niệm ""ERP"" (Enterprise Resource Planning) trong hệ thống thông tin quản lý đề cập đến việc gì?",6,Quản lý và tích hợp các tài nguyên của doanh nghiệp,Quản lý dự án và lịch trình công việc,Phân tích dữ liệu để tạo ra báo cáo,Tích hợp các thiết bị điện tử vào hệ thống,A
128,Thuật ngữ nào sau đây không phải là một trong các thành phần chính của hệ thống thông tin quản lý (MIS)?,6,Algorithms,Databases,Networks,Hardware,A
129,"Trong việc triển khai hệ thống thông tin quản lý (MIS), khái niệm ""Legacy System"" đề cập đến điều gì?",6,"Hệ thống cũ, thường có tuổi đời lâu, khó cập nhật hoặc tích hợp",Hệ thống phần mềm mới được phát triển,Hệ thống chuyên dụng cho việc quản lý tài nguyên nhân sự,Hệ thống tương tác xã hội và kinh doanh trực tuyến,"A, D"
130,"Khái niệm ""SCM"" (Supply Chain Management) trong hệ thống thông tin quản lý đề cập đến việc gì?",6,Quản lý chuỗi cung ứng và tối ưu hóa quy trình,Quản lý dữ liệu của các hệ thống thông tin,Quản lý hệ thống máy chủ và mạng,Quản lý các quy trình sản xuất và bán hàng,"A, D"
131,Điểm khác biệt chính giữa quản lý thông tin (IM - Information Management) và thông tin quản lý (MI - Management Information) là:,6,"Quản lý thông tin là việc thu thập và quản lý thông tin từ nhiều nguồn khác nhau trong khi đó, thông tin quản lý là các dữ liệu được các nhà quản lý tổ chức và sử dụng để đưa ra quyết định về cách điều hành tổ chức của họ","Quản lý thông tin đặt trọng tâm vào việc nắm bắt, bảo tồn, lưu trữ và cung cấp thông tin cho đúng người vào đúng thời điểm, trong khi đó thông tin quản lý đặt trọng tâm vào việc lưu trữ, truy xuất, phân tích các dữ liệu khách hàng, nhân viên, tài chính và sản xuất","Thông tin quản lý là việc thu thập và quản lý thông tin từ nhiều nguồn khác nhau trong khi đó, quản lý thông tin là các dữ liệu được các nhà quản lý tổ chức và sử dụng để đưa ra quyết định về cách điều hành tổ chức của họ","Thông tin quản lý đặt trọng tâm vào việc nắm bắt, bảo tồn, lưu trữ và cung cấp thông tin cho đúng người vào đúng thời điểm, trong khi đó quản lý thông tin đặt trọng tâm vào việc lưu trữ, truy xuất, phân tích các dữ liệu khách hàng, nhân viên, tài chính và sản xuất","A, B, D"
132,Đâu không phải là thành phần chính của hệ thống thông tin quản lí (MIS)?,6,Quy trình sản xuất,Phần mềm,Con người,Dữ liệu,A
133,Đâu là một nguồn đầu vào cho hệ thống thông tin quản lí (MIS)?,6,TPS,DSS,CRM,BIS,A
134,Lập kế hoạch nguồn lực sản xuất là nhiệm vụ của hệ thống nào sau đây?,6,MRP II,MRP,IC,CRM,A
135,PLM là viết tắt của?,6,Product Lifecycle Management,Processing Lifecycle Management,Project Lifecycle Management,Policy and Legal Management,A
136,Đâu không phải nghiệp vụ về kiểm soát hàng tồn trong quản lí kho?,6,Quản lí vận chuyển hàng đến kho,Tích hợp mã vạch khi nhập kho,Chi tiết vị trí sản phẩm trong kho,Báo cáo điều chỉnh,A
137,Một hệ thống thông tin quản lý (MIS) được tạo thành từ mấy thành phần chính? Cụ thể các thành phần đó là gì?,6,"4 thành phần: con người, quy trình kinh doanh, dữ liệu, cơ sở hạ tầng","5 thành phần: con người, quy trình sản xuất, dữ liệu, phần cứng, phần mềm","4 thành phần: con người, dữ liệu, phần cứng, phần mềm","5 thành phần: con người, quy trình kinh doanh, dữ liệu, phần cứng, phần mềm","B, D"
138,MRP II là viết tắt của?,6,Material Resource Planning,Material Requirements Planning,Manufactoring Resource Planning,Manufactoring Requirements Planning,C
139,MIS là viết tắt của?,6,"Management Information 
System","Marketing Information 
System","Multimedia Integration
 System","Manufacturing Information 
Software",A
140,Phát biểu nào sai về thông tin quản lý?,6,"dữ liệu được các nhà quản lý tổ chức và 
sử dụng để đưa ra quyết định về cách điều hành tổ chức của 
họ","có thể bao gồm dữ liệu về khách hàng, nhà cung 
cấp, nhân viên, tài chính và sản xuất","Hệ thống thông tin quản lý là hệ thống phần mềm và phần cứng được sử dụng để lưu trữ, truy xuất và phân tích dữ liệu này",Thông tin quản lý phải đảm bảo có đầy đủ 4 yếu tố,"B, C, D"
141,Đâu là không phải lĩnh vực chính của PLM,6,"Kỹ thuật hệ thống (SE) đáp ứng yêu cầu khách hàng và điều 
phối quy trình thiết kế hệ thống đến các lĩnh vực liên quan.","Quản lý sản phẩm và danh mục đầu tư (PPM) quản lý phân 
bổ nguồn lực, theo dõi tiến độ, lập kế hoạch cho các dự án 
phát triển sản phẩm mới đang được xử lý","Sản xuất sản phẩm (CAx) là quá trình tạo ra một sản phẩm 
mới cho khách hàng của mình.","Quản lý dữ liệu sản phẩm (PDM) thu thập và duy trì thông tin 
về sản phẩm, dịch vụ trong quá trình phát triển và sử dụng","B, C"
142,Những thành phần chính của một hệ thống thông tin quản lý,6,"là các lĩnh vực quản lý, dữ liệu, thủ tục xử lý (mô hình) và các quy tắc quản lý.","là con người, quy trình kinh doanh, dữ liệu, phần cứng và phần mềm.","là quy trình kinh doanh, tài nguyên, nhân lực, phần cứng và phần mềm.","là các hệ thống dữ liệu, các quy tắc quản lý, kế hoạch và quy trình sản xuất.","A, B, D"
143,Tại sao cần MIS? (chọn đáp án sai),6,MIS cho phép dễ dàng truy cập và kiểm soát trong việc làm chủ phân phối của nó.,"MIS là tài sản của công ty là hệ thống có giá trị cao, có tỷ lệ phản hồi cao và tập trung vào người dùng từ mọi khía cạnh.",MIS có thể giải quyết các vấn đề quan trọng và nó là giải pháp cho tất cả các vấn đề của một tổ chức.,"Do các hệ thống khác nhau phục vụ các nhóm người dùng khác nhau với mức độ chi tiết, khả năng xử lý và đầu ra khác nhau.","C, D"
144,ISM có phạm vi công việc rộng hơn hay hẹp hơn so với MIS?,6,Rộng hơn,Hẹp hơn,Bằng nhau,Phụ thuộc vào ngữ cảnh sử dụng,A
145,PLM quản lý toàn bộ vòng đời của sản phẩm từ khi nào?,6,Từ khi sản phẩm được bán đầu tiên đến khi nó hết hàng,Từ khi sản phẩm được sản xuất đến khi nó bị hỏng,Từ khi sản phẩm bắt đầu đến khi nó được thải bỏ,Từ khi sản phẩm được nghĩ ra đến khi nó được thiết kế,"B, C"
146,Mục đích chính của CRM trong quan hệ với khách hàng?,6,Tăng lợi nhuận ngắn hạn,Quản lý tương tác với khách hàng,Chỉ tập trung vào tiếp thị,Giảm chi phí sản xuất,D
147,Đâu không phải một cách phân nhóm theo công dụng của MIS?,6,Giúp đánh giá vấn đề,Giúp ra quyết định,"Giúp phối hợp giữa các
 Bộ phận",Giúp so sánh hiệu quả kinh doanh,A
148,Nhược điểm của ERP?,6,Giảm quyền truy cập vào dữ liệu,"Không thể loại bỏ các hệ thống cũ tốn kém, không linh hoạt",Cơ sở hạ tầng công nghệ khó nâng cấp,Khó thực hiện thay đổi,D
149,"Trong các lĩnh vực chính của quản lý vòng đời sản phẩm (PLM), kỹ thuật hệ thống (SE) được mô tả như thế nào?",6,Là quá trình tạo ra một sản phẩm mới cho khách hàng của mình,Đáp ứng yêu cầu khác hàng và điều phối quy trình thiết kế hệ thống đến các lĩnh vực liên quan,"Quản lý phân bố nguồn lựuc, theo dõi tiến độ, lập kế hoạch cho các dự án phát triển sản phẩm mới đang được xử lý","Thu thập và duy trì thông tin về sản phẩm, dịch vụ trong quá trình phát triển và sử dụng","B, C"
150,Đâu không là thành phần của hệ thống quản lý thông tin (MIS),6,Con người,Quy trình kinh doanh,Dữ liệu,Quy trình nghiệp vụ,D
151,Đâu không phải là công dụng của MIS?,6,Giúp tăng cường bảo mật thông tin,Giúp phối hợp giữa các bộ phận,Giúp so sánh hiệu quả kinh doanh,Giúp tìm ra giải pháp của vấn đề,A
152,Inventory control là gì,6,quá trình kiểm soát lượng hàng tồn kho,Quá trình sản xuất,quá trình quản lý nhân sự,quá trính bán hàng,"A, B"
153,MRP là viết tắt của,6,Material Requirement Planning,Meterial Resources Planning,Manufacturing Resources Planning,Meterial Requirement Planning,A
154,Đâu không phải là 1 Information Systems,6,CPS,TPS,MIS,DSS,A
155,Mục tiêu chính của MIS là gì,6,Cung cấp thông tin để hỗ trợ quyết định,Giảm chi phí nhân sự,Tăng cường mối quan hệ khách hàng,Tối ưu hóa lợi nhuận ngắn hạn,A
156,MIS nằm ở mức độ nào,6,Middle level management,Top level management,Low level management,High level management,A
157,"Khi phân loại phần mềm Quản lý nhân sự theo hình thức mua bán, đâu là hình thức không chính xác?",6,Phần mềm trong nước,Phần mềm viết theo yêu cầu,Phần mềm đóng gói,Phần mềm nước ngoài,A
158,Module quan trọng nhất của Production Planning và được coi là xương sống của quy trình sản xuất ?,6,Material Requirement Planning,Warehourse management,Human Resource Planning,Production Control,A
159,Đâu không phải là thành phần của MIS,6,X Sản phẩm,Con người,Data,Phần mềm,A
160,Đâu không phải một nhóm được chia theo công dụng của MIS,6,X Giúp giải quyết vấn đề,Giúp ra quyết định:,Giúp tìm ra vấn đề:,Giúp so sánh hiệu quả kinh doanh:,A
161,Đâu không phải một loại hệ thống quản lý thông tin khi được chia theo nghiệp vụ,6,X Hệ thống quản lý bán hàng,Hệ thống quản lý bán hàng,Hệ thống quản lý bán hàng,Hệ thống quản lý nguồn nhân lực,A
162,Tam giác trí thức DIKW Hierarchy là gì?,7,"XDIKW Hierarchy là một khái niệm biểu thị mối quan hệ giữa Dữ liệu (Data), Thông tin (Information), Kiến thức (Knowledge), và Weisheit (Weisheit).",DIKW Hierarchy là một mô hình thiết kế web phổ biến.,"DIKW Hierarchy là viết tắt của ""Data, Insight, Knowledge, Wisdom,"" mô tả một mô hình lên xuống từ sự hiểu biết cơ bản đến sự hiểu biết cao cấp.","DIKW Hierarchy là viết tắt của ""Digital Information and Knowledge Workers,"" mô tả một nhóm người làm việc chủ yếu với dữ liệu và thông tin kỹ thuật số.","A, C"
163,Thành phần của hệ thống Decision Support Systems có thể bao gồm:,7,XHệ thống quản lý dữ liệu gồm Cơ sở dữ liệu và Hệ quản trị CSDL (DBMS),XHệ thống quản lý cơ sở kiến thức KMS - Knowledge Base Management Subsystems,Hệ thống quản lý vận chuyển (TMS - Transportation Management System),Hệ thống quản lý nhân sự (HRMS - Human Resource Management System),"A, B"
164,Decision Support Systems - DSS không bao gồm:,7,XDSS theo hướng kinh doanh,DSS hướng giao tiếp,DSS hướng tri thức,DSS hướng tài liệu,A
165,"Theo phân loại quyết định, đâu là quyết định phi cấu trúc?",7,Quyết định các mục tiêu của công ty,Phân bổ nguồn lực cho các nhà quản lí,Xây dựng kế hoạch marketing,Xác định ưu đãi đặc biệt cho khách hàng,"A, C, D"
166,Đâu là nhược điểm của hệ thống hỗ trợ điều hành (ESS)?,7,Chi phí thực hiện cao,Lợi ích mang lại thấp,Không thích hợp cho các công ty lớn,Không quan tâm đến quy trình nội bộ,A
167,Đâu không phải chức năng phổ biến của Business intelligence?,7,Quản lí quy trình sản xuất,Báo cáo,Khai thác văn bản,Xử lí sự kiện phức tạp,"A, D"
168,Đâu không phải công cụ của Business Intelligence?,7,Database backup,OSAP,Visualization,Data mining,A
169,"Mô hình DSS nào giúp các công ty lưu, quản lí, phân tích dữ liệu?",7,DSS hướng dữ liệu,DSS dựa trên mô hình,DSS hướng tài liệu,DSS hướng tri thức,A
170,Hệ thống DSS được sử dụng hỗ trợ trong việc ra những quyết định ở mức độ nào?,7,Mức độ chiến lược,Mức độ chiến thuật,Mức độ chiến lược và chiến thuật,"Mức độ chiến lược, chiến thuật và vận hành",D
171,Quyết định nào được mô tả là quyết định bán cấu trúc,7,Xây dựng kế hoạch marketing,"xác định ưu đãi đặc biệt
 cho khách hàng","Quyết định các mục tiêu
 của công ty",Phê duyệt ngân sách vốn,"A, B"
172,"Đâu là thứ tự đúng từ dưới lên trong các mức độ của tam giác tri thức
 DIKW Hierarchy",7,"Data → Information 
→ Knowledge → Wisdom","Data → Knowledge 
→ Information → Wisdom","Data → Knowledge 
→ Wisdom → Information","Data → Information
→ Wisdom → Knowledge",A
173,Điều nào sau đây là không đúng về DSS,7,"Hỗ trợ giải quyết vấn đề phức
 tạp","Phản ứng nhanh với các 
tình huống bất ngờ dẫn 
đến điều kiện thay đổi",Chủ yếu giải quyết các vấn đề có cấu trúc,Hỗ trợ các vấn đề bán cấu trúc và phi cấu trúc,C
174,Đâu không phải là tính chất của hệ thống ESS/EIS,7,Dễ sử dụng,Chi phí thực hiện thấp,"Phù hợp với các giám
 đốc điều hành cá nhân",Giúp đỡ với các tình huống có mức độ không chắc chắn cao,B
175,Hệ thống BI chủ yếu tập trung vào:,7,"Xây dựng cơ sở dữ liệu cụ thể
 để giải quyết vấn đề.","Cải thiện mối quan hệ 
khách hàng và đối tác",Tăng doanh thu,"Phân tích và báo cáo trên 
dữ liệu được lưu trữ trong 
kho dữ liệu","A, D"
176,Hệ thống hỗ trợ ra quyết định viết tắt là gì?,7,DSS,EIS,ESS,BIS,A
177,Điều nào sau đây là đúng về Hệ thống hỗ trợ ra quyết định DSS?,7,Đưa ra quyết định thay cho người ra quyết định,"Hỗ trợ cho hoạt động ra 
quyết định",Thực hiện các quyết định,"Đưa ra các quyết định chính 
xác tuyệt đối","B, D"
178,Quyết định nào được mô tả là quyết định có cấu trúc,7,"xXác định ưu đãi đặc biệt
 cho khách hàng",Xây dựng kế hoạch marketing,"Quyết định các mục tiêu
 của công ty",Phê duyệt ngân sách vốn,"A, B"
179,Quyết định nào được mô tả là quyết định có cấu trúc,7,Phân bổ nguồn lực cho các nhà quản lý,"Xác định ưu đãi đặc biệt 
cho khách hàng",Xây dựng kế hoạch marketing,Phê duyệt ngân sách vốn,"B, C, D"
180,"Mô hình DSS nào giúp các công ty lưu, quản lý và phân tích tổ hợp dữ liệu
cả bên trong và bên ngoài công ty",7,DSS hướng dữ liệu,DSS hướng tài liệu,DSS hướng tri thức,DSS hướng giao tiếp,A
181,Mô hình DSS nào giúp các công ty quản lý dữ liệu yêu cầu nhiều người cộng tác trong một nhiệm vụ,7,DSS hướng dữ liệu,DSS hướng tài liệu,DSS hướng tri thức,DSS hướng giao tiếp,D
182,"Thông tin được nhập vào một mô hình ra quyết định, sau đó sẽ được sử
 dụng để phân tích các tình huống là mô tả mô hình DSS nào",7,DSS hướng dữ liệu,DSS hướng tài liệu,DSS dựa trên mô hình,DSS hướng tri thức,C
183,Hệ thống hỗ trợ điều hành là,7,ESS,DSS,BSS,BIS,A
184,BI là gì,7,Kinh doanh thông minh,Bán hàng thông minh,Điều hành thông minh,Ra quyết định thông minh,A
185,"Trong BIS, khái niệm ""OLAP"" liên quan đến việc gì?",7,Phân tích sâu rộng vào chi tiết dữ liệu,Tìm kiếm thông tin từ nguồn bên ngoài,Phân tích độ nhạy của dữ liệu đối với quyết định,Phân tích dữ liệu theo chiều đa chiều,D
186,Nghiệp vụ thông minh (BI) có thể được định nghĩa là các hệ thống kết hợp:,7,Thu thập dữ liệu,"Lưu trữ, phân tích dữ liệu","Quản lý, khai thác kiến thức",Tất cả phương án trên,D
187,Đâu không phải là một mô hình cho DSS( hệ thống hỗ trợ quyết định),7,DSS hướng giao tiếp,DSS hướng tri thức,DSS hướng nghiệp vụ,DSS hướng tài liệu,C
188,Đâu là nhược điểm của ESS?,7,Tất cả các đáp án trên,Lợi ích khó định lượng,"Chức năng hạn chế, theo thiết kế",Chi phí thực hiện cao,A
189,Đâu không phải là lợi ích chính của DSS?,7,Chi phí cao,Quyết định khách quan,Những hiểu biết học hỏi mới,Cải thiện kiểm soát quản lý và hiệu suất,A
190,Các chức năng phổ biến của Business Intelligence là,7,Tất cả các phương án trên,Phân tích dự đoán,Xử lý sự kiện phức tạp,"Khai thác dữ liệu, quy trình","A, C"
191,Phân loại hệ thống thông tin theo cách cổ điển chia hệ thống thành những phần nào?,7,"Operational Systems, Management Systems","Operational Systems, Executive Systems","Excecutive Systems, Manangement Systems","Operational Systems, Management Systems, Excecutive Systems","A, B, C, D"
192,Đâu là phát biểu đúng về khái niệm giao dịch( Transaction)?,7,"Thường liên quan đến hai thực thể ( C2B, C2C, B2B...)","Những thứ được trao đổi thường là tiền hay sản phẩm, trả về là tiền hay dịch vụ","Là các bước liên quan đến chuyển đổi nguyên liệu thành sản phẩm, cung cấp dịch vụ",Tất cả phương án trên đều đúng.,"A, B"
193,Các đặc điểm nào sau đây không phải của hệ thống xử lý theo lô (Batch proccesing),7,Các giao dịch được xử lý ngay lập tức,Các giao dịch được xử lý online,"Được ứng dụng nhiều trong giai đoạn các thiết bị, hạ tầng hạn chế",Các giao dịch kinh doanh được tích lũy trong một khoảng thời gian và được xử lý theo một đơn vị hay một lô duy nhất,"A, B, D"
194,Sắp xếp các mức độ ra quyết định từ thấp đến cao,7,"Nhân viên cá nhân, Đội ngũ quản lý vận hành và dự án, Đội ngũ quản lý cấp trung và dự án, Quản lý cấp cao","Đội ngũ quản lý vận hành và dự án, Nhân viên cá nhân, Đội ngũ quản lý cấp trung và dự án, Quản lý cấp cao","Nhân viên cá nhân, Đội ngũ quản lý vận hành và dự án, Quản lý cấp cao, Đội ngũ quản lý cấp trung và dự án,","Đội ngũ quản lý vận hành và dự án, Đội ngũ quản lý cấp trung và dự án, Nhân viên cá nhân, Quản lý cấp cao",A
195,Hệ thống hỗ trợ quyết định (DSS) được thiết kế để làm gì trong môi trường kinh doanh?,7,Hỗ trợ người dùng trong việc ra quyết định thông minh,Tạo ra quyết định hoàn toàn tự động,Thay thế vai trò của nhà quản lý,Đưa ra dự đoán không chính xác,"A, D"
196,Các tính năng chính của DSS bao gồm điều gì?,7,"Tính linh hoạt, phân tích dữ liệu và tương tác người dùng",Không cung cấp công cụ phân tích và đánh giá,Chỉ phục vụ một lĩnh vực cụ thể,Hỗ trợ chỉ quản lý cấp cao,A
197,DSS thường được sử dụng trong việc hỗ trợ quyết định ở đâu trong tổ chức?,7,Cả ở cấp cao và cấp trung ương,Chỉ ở cấp dưới trong tổ chức,Chỉ ở cấp trung ương,Chỉ ở cấp cao trong tổ chức,A
198,Điều gì làm nên sức mạnh của hệ thống hỗ trợ quyết định (DSS)?,7,Cung cấp thông tin chính xác và công cụ phân tích để hỗ trợ quyết định,Sự đơn giản và hạn chế,Tính tĩnh lặng không thay đổi,Không hỗ trợ người dùng trong quyết định chiến lược,A
199,Business Intelligence (BI) tập trung vào việc gì?,7,Sử dụng dữ liệu để hỗ trợ quyết định kinh doanh,Kế hoạch marketing,Quản lý tài chính,Lập trình ứng dụng di động,A
200,Mục tiêu chính của Business Intelligence là gì?,7,Hỗ trợ quyết định thông minh dựa trên dữ liệu,Quản lý tài chính cá nhân,Tạo ra dữ liệu mới,Phân tích kết cấu mô phỏng,A
201,Business Intelligence có thể giúp tổ chức như thế nào?,7,Hỗ trợ tổ chức hiểu rõ về hoạt động của mình và ra quyết định thông minh dựa trên dữ liệu,Tạo ra các ứng dụng di động cho khách hàng,Chỉ hiển thị thông tin từ một nguồn duy nhất,Tạo ra lợi nhuận từng giây,A
202,Đâu là đặc điểm của hệ thống ERP?,8,Phân tích dữ liệu,Tích hợp quy trình nghiệp vụ,Tự đông hóa,Cả 3 đáp án trên,D
203,Kể tên (những) nghề nghiệp sử dụng ERP?,8,Kiến trúc sư dữ liệu,"Nhà phân tích 
kinh doanh","Quản trị viên cơ
 sở dữ liệu","Nhà phân tích thiết 
kế hệ thống","A, B, C"
204,Hệ thống ERP sử dụng cơ sở dữ liệu chung nhằm mục đích gì?,8,Tạo ra cái nhìn nhất quán và đa chức năng về công ty.,Tăng sự đa dạng của dữ liệu.,Giảm hiệu suất người dùng.,Hạn chế sự tích hợp giữa các phòng ban.,A
205,Tính năng quan trọng của hệ thống ERP liên quan đến nhân sự là gì?,8,Tự động hóa các quy trình nghiệp vụ.,Giảm tương tác giữa người dùng và hệ thống.,Tạo ra cái nhìn nhất quán về công ty.,Hỗ trợ quản lý chuỗi cung ứng.,A
206,Đặc điểm nào của hệ thống ERP giúp người dùng có thể nhanh chóng tìm và hiểu thông tin từ mọi góc của doanh nghiệp?,8,UX/UI nhất quán,Cơ sở dữ liệu chung,Tích hợp quy trình nghiệp vụ,Tự động hóa,A
207,ERP là viết tắt của từ gì?,8,Enterprise Resource Platform,Enterprise Resource Planning,Efficient Resource Processing,Essential Resource Program,B
208,Lợi ích của ERP,8,Cho phép ERP thay thế nhiều hệ thống khác nhau hiện có trong DN,Tăng luồng thông tin chạy trong tổ chức/doanh nhiệp,"Tăng khả năng kết hợp kiểm soát quản lý tốt hơn, ra quyết định nhanh
hơn và giảm chi phí",X Tất cả các phương án trên,D
209,Các công nghệ nào có thể tích hợp vào ERP để gia tăng trải nghiệm và giảm tải công việc,8,AI,Blockchain,IOT,X Tất cả các phương án trên,D
210,Đâu không phải ứng dụng của IOT trong ERP,8,Thu thập dữ liệu,Tăng cường quản lý chuỗi cung ứng,X Phán đoán xu hướng,Cải thiện khả năng hiển thị,C
211,Đâu không phải ứng dụng của Blockchain trong ERP,8,Bảo mật nâng cao,X Xác thực người dùng,Truy xuất nguồn gốc chuỗi cung ứng,Hợp đồng thông minh,"B, C"
212,Đâu không phải ứng dụng của Blockchain trong ERP,8,Phân tích dữ liệu nâng cao,Khả năng dự đoán,Cải thiện trải nghiệm người dùng,X Thay con người đưa ra quyết định phức tạp,D
213,Những phát hiện chính về thị trường ERP,8,X Bão hòa và tập trung,Phân tán và sơ khai,Sơ khai và tập trung,Bão hoà và phân tán,A
214,Đâu không phải là 1 trong 5 nhà cung cấp lớn giải pháp ERP,8,Oracle,JDEdwards,PeopleSoft,X MicroSoft,D
215,Nhược điểm của SAP,8,XCông ty yêu cầu phải ký hợp đồng để sử dụng phần mềm SAP và công ty đó giữ các công ty đó với nhà cung cấp cho đến khi hết hạn hợp đồng.,X Nó không linh hoạt vì đôi khi gói của nhà cung cấp không phù hợp với mô hình kinh doanh của công ty.,X Để thực hiện và sử dụng SAP có thể rất tốn kém. Điều này không an toàn vì có nguy cơ thất bại dự án.,"Tốn thời gian đào tạo, sử dụng hệ thống","A, B, C"
216,Quản lý quy trình kinh doanh (BPM) là gì?,9,"Mô hình hóa, tối ưu hóa, đo lường và điều phối tất cả các quy trình trong một tổ chức",Mô hình hóa và tối ưu hóa quy trình trong một tổ chức,Điều phối tất cả các quy trình kinh doanh,Cung cấp cho doanh nghiệp khả năng kiểm soát các quy trình của họ,A
217,Mục đích chính của việc tiêu chuẩn hóa quy trình là gì?,9,Giúp thực thi các yêu cầu bảo mật hơn,Tăng cường sự phức tạp của quy trình,Gây khó khăn cho nhóm CNTT,Tăng cường sự lỗi lạc của quy trình,A
218,Đâu không phải là một thành phần trong BPM lifecycle,9,Process discovery,Process analysis,Process redesign,Process maintain,D
219,Phát biểu không đúng về quy trình hoạt động,9,Có nhiều quy trình tổ chức đóng góp vào quy trình tổ chức,Quy trình hoạt động được chỉ định bởi các mô hình thiết kế,Quy trình hoạt động là cơ sở để phát triển các quy trình được thực hiện,Các quy trình được thực hiện chứa thông tin về việc thực hiện các hoạt động quy trình,B
220,Quy trình nghiệp vụ là?,9,Là các gọi khác của quá trình viết code,Là một hoạt động hoặc tập hợp các hoạt động nhằm hoàn thành một mục tiêu cụ thể của tổ chức,Là quy trình tuyền dụng của doanh nghiệp,Là quy trình kiểm thử,B
221,Mục tiêu chính của quy trình cải thiện thông qua BPM là gì?,9,Cải thiện chất lượng quy trình,Tăng cường sự phức tạp của quy trình,Giảm sự linh hoạt trong hoạt động kinh doanh,Tăng cường sự không chắc chắn,A
222,Đâu không phải là một bước của BPM,9,Kiểm thử,Phân tích,"Thực hiện , cải tiến",Tối ưu hóa quy trình,A
223,Các thành phần của quản lý quy trình kinh doanh (BPM) là?,9,Phân tích quy trình,Con người,Công nghệ,Tất cả các đáp án trên,D
224,"Một chuỗi các sự kiện, hoạt động và quyết định, liên quan đến một số tác nhân và đối tượng, được kích hoạt bởi một nhu cầu, và dẫn đến một kết quả có giá trị cho khách hàng là khái niệm của thuật ngữ nào?",9,Quy trình nghiệp vụ (BP),Quản lý quy trình kinh doanh (BPM),Hệ thống quản lý kho (WMS),Hệ thống quản lý hàng tồn kho,A
225,Quy trình nào trong vòng đời BPM nhấn mạnh việc xác định và mô tả chi tiết các hoạt động và quy trình kinh doanh?,9,Xác định,Thiết kế,Kiểm tra,Thực hiện,A
226,Giai đoạn nào trong vòng đời BPM tập trung vào việc theo dõi và đánh giá hiệu suất của các quy trình?,9,Kiểm tra,Thiết kế,Xác định,Tối ưu hóa,"A, C"
